Audio_Filenames;track_genre_1;track_genre_2
4em001_01_Mideast-Darkness_703611.wav;Atmosphere;World Music
4em001_02_Desert-Search_703612.wav;Atmosphere;World Music
4em001_03_Qasidah_703613.wav;Atmosphere;World Music
4em001_04_Desert-War_703614.wav;Atmosphere;World Music
4em001_05_Desert-War---Lite_703615.wav;Atmosphere;World Music
4em001_06_Desert-Cell_703616.wav;Atmosphere;World Music
4em001_07_Mirages---Lite_703617.wav;Atmosphere;World Music
4em001_08_Mirages_703618.wav;Atmosphere;World Music
4em001_09_Istanbul-Intrigue_703619.wav;Atmosphere;World Music
4em001_10_Journey-To-The-Mosque_703620.wav;Atmosphere;World Music
4em001_11_Imminent-Sands_703621.wav;Atmosphere;World Music
4em001_12_Drones-In-The-Sand_703622.wav;Atmosphere;World Music
4em001_13_Ominous-Groove_703623.wav;Atmosphere;World Music
4em001_14_All-But-Starved_703624.wav;Atmosphere;World Music
4em001_15_Desert-Oud_703625.wav;Atmosphere;World Music
4em001_16_Foreign-Treasure_703626.wav;Atmosphere;World Music
4em001_17_Hazy-Asian-Groove_703627.wav;Atmosphere;World Music
4em001_18_Hazy-Asia_703628.wav;Atmosphere;World Music
4em001_19_Mideast-Night_703629.wav;Atmosphere;World Music
4em001_20_In-The-Shadows---No-Percussion_703630.wav;Atmosphere;World Music
4em001_21_In-The-Shadows_703631.wav;Atmosphere;World Music
4em001_22_Holistic-Hands_703632.wav;Atmosphere;World Music
4em001_23_World-3-To-Hell_703633.wav;Atmosphere;World Music
4em001_24_World-Face-Of-Evil---Less_703634.wav;Atmosphere;World Music
4em001_25_World-Face-Of-Evil---Oud_703635.wav;Atmosphere;World Music
4em001_26_World-Face-Of-Evil_703636.wav;Atmosphere;World Music
4em001_27_Persian-Escape_703637.wav;Atmosphere;World Music
4em001_28_Mideast-Troops_703638.wav;Atmosphere;World Music
4em001_29_Desert-Wind_703639.wav;Atmosphere;World Music
4em001_30_Prowling-Winds_703640.wav;Atmosphere;World Music
4em001_31_Mideast-Caution_703641.wav;Atmosphere;World Music
4em001_32_At-Stake_703642.wav;Atmosphere;World Music
4em001_33_Desert-Darkness_703643.wav;Atmosphere;World Music
4em002_01_Cuban-Party---Casa-De-Carlos_703644.wav;Latin;World Music
4em002_02_Cuban-Party_703645.wav;Latin;World Music
4em002_03_Do-It-On-Two_703646.wav;Latin;Dance
4em002_04_Cosmo-Mambo_703647.wav;Latin;World Music
4em002_05_Cosmo-Mambo---No-Lead_703648.wav;Latin;World Music
4em002_06_Matanzas_703649.wav;Latin;World Music
4em002_07_8th-Street-Rumba_703650.wav;Latin;Dance
4em002_08_Guns-And-Drums_703651.wav;Latin;Dance
4em002_09_Toma_703652.wav;Latin;Dance
4em002_10_Brujo_703653.wav;Latin;World Music
4em002_11_Sierra-Chill_703654.wav;Latin;World Music
4em002_12_Viva-Las-Ciruelas_703655.wav;Latin;World Music
4em002_13_Brazil-6-String_703656.wav;Latin;World Music
4em002_14_Salvation's-Moon_703657.wav;Atmosphere;World Music
4em002_15_Gypsy-Moths---Major-Lead_703658.wav;Latin;World Music
4em002_16_Gypsy-Moths---Major_703659.wav;Latin;World Music
4em002_17_Gypsy-Moths---No-Guitar_703660.wav;Latin;World Music
4em002_18_Gypsy-Moths_703661.wav;Latin;World Music
4em002_19_Seductive-Nylon_703662.wav;Latin;World Music
4em002_20_Latin-Seas_703663.wav;Latin;World Music
4em002_21_Latin-Seas---Vibes-15_703664.wav;Latin;World Music
4em002_22_Latin-Seas---Sting-1_703665.wav;Latin;World Music
4em002_23_Latin-Heat---Piano_703666.wav;Latin;World Music
4em002_24_Latin-Heat---Whistle_703667.wav;Latin;World Music
4em002_25_Latin-Heat-End---8_703668.wav;Latin;World Music
4em002_26_Border-Dance_703669.wav;Latin;World Music
4em002_27_Cuban-Waters---Percussion_703670.wav;Atmosphere;World Music
4em002_28_Venezuela-To-Spain_703671.wav;Latin;Atmosphere
4em003_01_Dreams-Of-Moscow_703672.wav;Atmosphere;World Music
4em003_02_Deep-Snow_703673.wav;Atmosphere;World Music
4em003_03_Old-Ukraine---Vinyl_703674.wav;Country, Folk;World Music
4em003_04_Old-Ukraine_703675.wav;Country, Folk;World Music
4em003_05_Slovak-Up_703676.wav;Atmosphere;World Music
4em003_06_Slovak-Slow_703677.wav;Atmosphere;World Music
4em003_07_White-Russian_703678.wav;Dance;World Music
4em003_08_Bullfight-Horn_703679.wav;Atmosphere;World Music
4em003_09_Mafia-Ballet_703680.wav;Atmosphere;World Music
4em003_10_Eastern-Europe-Day_703681.wav;Country, Folk;World Music
4em003_11_Kantele-Day_703682.wav;Atmosphere;World Music
4em003_12_French-Picnic_703683.wav;Atmosphere;World Music
4em003_13_Celtic-Sea-Whistle_703684.wav;Atmosphere;World Music
4em004_01_Diabolique_703685.wav;Dance;World Music
4em004_02_Hologram_703686.wav;Atmosphere;World Music
