;Audio_Filenames;track_genre_1;track_genre_2;length;multi_genres
0;4em001_01_Mideast-Darkness_703611.wav;Atmosphere;World Music;4.631.510.204.081.630;Atmosphere World Music
1;4em001_02_Desert-Search_703612.wav;Atmosphere;World Music;96.6;Atmosphere World Music
2;4em001_03_Qasidah_703613.wav;Atmosphere;World Music;8.347.827.664.399.090;Atmosphere World Music
3;4em001_04_Desert-War_703614.wav;Atmosphere;World Music;10.132.979.591.836.700;Atmosphere World Music
4;4em001_05_Desert-War---Lite_703615.wav;Atmosphere;World Music;9.382.977.324.263.030;Atmosphere World Music
5;4em001_06_Desert-Cell_703616.wav;Atmosphere;World Music;11.551.666.666.666.600;Atmosphere World Music
6;4em001_07_Mirages---Lite_703617.wav;Atmosphere;World Music;10.980.002.267.573.600;Atmosphere World Music
7;4em001_08_Mirages_703618.wav;Atmosphere;World Music;6.720.002.267.573.690;Atmosphere World Music
8;4em001_09_Istanbul-Intrigue_703619.wav;Atmosphere;World Music;9.086.442.176.870.740;Atmosphere World Music
9;4em001_10_Journey-To-The-Mosque_703620.wav;Atmosphere;World Music;8.103.895.691.609.970;Atmosphere World Music
10;4em001_11_Imminent-Sands_703621.wav;Atmosphere;World Music;8.412.848.072.562.350;Atmosphere World Music
11;4em001_12_Drones-In-The-Sand_703622.wav;Atmosphere;World Music;98.0;Atmosphere World Music
12;4em001_13_Ominous-Groove_703623.wav;Atmosphere;World Music;7.013.877.551.020.400;Atmosphere World Music
13;4em001_14_All-But-Starved_703624.wav;Atmosphere;World Music;982.465.306.122.449;Atmosphere World Music
14;4em001_15_Desert-Oud_703625.wav;Atmosphere;World Music;9.048.387.755.102.040;Atmosphere World Music
15;4em001_16_Foreign-Treasure_703626.wav;Atmosphere;World Music;7.175.836.734.693.870;Atmosphere World Music
16;4em001_17_Hazy-Asian-Groove_703627.wav;Atmosphere;World Music;8.272.979.591.836.730;Atmosphere World Music
17;4em001_18_Hazy-Asia_703628.wav;Atmosphere;World Music;7.447.510.204.081.630;Atmosphere World Music
18;4em001_19_Mideast-Night_703629.wav;Atmosphere;World Music;7.928.163.265.306.120;Atmosphere World Music
19;4em001_20_In-The-Shadows---No-Percussion_703630.wav;Atmosphere;World Music;69.0;Atmosphere World Music
20;4em001_21_In-The-Shadows_703631.wav;Atmosphere;World Music;69.0;Atmosphere World Music
21;4em001_22_Holistic-Hands_703632.wav;Atmosphere;World Music;6.002.938.775.510.200;Atmosphere World Music
22;4em001_23_World-3-To-Hell_703633.wav;Atmosphere;World Music;687.874.149.659.864;Atmosphere World Music
23;4em001_25_World-Face-Of-Evil---Oud_703635.wav;Atmosphere;World Music;50.285.714.285.714.200;Atmosphere World Music
